,Title,Description,Depth,Courage,Story Power,Commitment,Completion Criteria
12,Make Monthly Constituent Calls,Make phone calls to elected representatives for 6 consecutive months,5,4,3,6,At least 1 call/month for 6 months
13,Build a Relationship with Legislative Staff,Have 3+ substantive interactions with the same staff member over 6 months,6,9,6,8,3+ interactions (calls - meetings - detailed correspondence)
21,Contribute to Social Impact Open Source,Make 3+ meaningful contributions (code and documentation and issues) to open source projects serving social good,4,3,3,4,3+ meaningful contributions made
27,Create a 24-Hour Time-Lapse Video,Record a continuous 24-hour period and compile into a time-lapse video,1,1,5,2,Final video showing full day-night cycle from fixed position
28,30-Day Daily Photo Challenge,Take one intentional creative photo every day for 30 consecutive days,2,1,5,5,Collection of 30 photos each from different day with distinct theme
29,Record a One-Second-a-Day Video Diary,Film one second of video every day for 90 days and then compile,1,2,5,7,Final compiled video of 90 seconds showing 90 different days
32,Handwrite 10 Gratitude Letters,Write and send 10 handwritten letters(or email if you dont have their address) to people who have positively impacted your life,7,8,8,5,10 separate handwritten letters - actually delivered
35,Bake 10 Unique Recipes in 48 Hours,Make 10 different baked goods or cooked dishes in one weekend,2,2,3,4,10 distinct recipes - completed within 48 hours - photo documentation
37,Blindfolded Candy Chopstick Challenge,Blindfolded and pick up and eat as many M&Ms as you can using only chopsticks in 60 seconds (competitive),1,1,3,1,Video documenting attempt with final count
38,Balance Spoons on Your Face,Balance as many spoons as possible on your face simultaneously. Competitive challenge,1,1,2,1,Photo showing all spoons balanced at once (no adhesive)
39,Blow a Giant Bubblegum Bubble,Blow the largest bubblegum bubble you can (competitive),1,1,2,1,Photo or video of largest bubble with something for scale
40,Eat Beans with a Toothpick,Eat as many baked beans as possible in 60 seconds using only a toothpick (competitive),1,1,2,1,Video of attempt with final count (one bean at a time speared)
42,Build Something Useful from Scrap,Create a functional object using only materials you already have or can get for free,3,2,5,3,Object serves real purpose - made from repurposed materials - photo in use
48,Hometown Tourist,Spend a full day exploring your own area as if you were a visitor. Ask locals for highlights. Visit landmarks,4,2,6,3,Visited at least 3 spots you'd never been to before
49,Solo Navigation,Travel somewhere unfamiliar alone and navigate without GPS,5,5,4,3,Solo trip completed using maps - signs - or asking locals
51,Festival Immersion,Attend a cultural celebration or community event outside your usual circle,5,3,3,3,Participated (not just observed) in at least one activity
54,Learn One Song,Learn to play or sing one complete song,3,2,3,5,Can perform it start to finish for at least one person
55,Cook Something New,Prepare a dish from a cuisine you've never cooked before,2,1,3,2,Eaten the finished dish
58,Produce Media,Create a podcast episode,3,6,4,4,Finished product shared with at least one person
61,Meet Someone New,Attend an event where you know few/no people and start a genuine conversation,6,6,5,2,Exchanged contact info or made plans to meet again
64,Day of Yes,Let someone else plan a full day for you and participate in everything they choose,7,6,7,3,Completed entire day as planned by them
74,Mentor Someone,Regularly guide someone less experienced in an area you know for at least 4 meetings,6,5,2,7,Met with them at least 4 times and they've made progress
80,Shadow Someone in Another Career,Spend half a day+ observing someone in a field you're curious about,5,3,5,3,Shadow completed + written reflection
81,Ask Out Someone Who Intimidates You,Ask someone on a date who you're genuinely interested in but nervous about,5,6,5,2,The ask happened (outcome irrelevant)
82,Say I Love You to 5 New People,Tell five people you genuinely love that you love them - people you've never said it to before,7,6,5,2,All 5 documented (who and when)
83,Go Car-Free for One Month,Complete 30 consecutive days without driving a personal vehicle,5,4,5,6,30 days completed (emergency/accessibility exceptions allowed)
85,Switch to Renewable Electricity,Switch your home to a renewable energy provider/green tariff or install any solar capacity,5,2,2,4,Switch confirmed or solar installed
87,Take Cold Showers for 30 Days,Replace your regular shower with a cold shower every day for 30 consecutive days,4,6,3,5,30 days without missing (no warm-up period allowed)
88,Learn to Do the Splits,Achieve a full front or side split through daily stretching,3,4,5,9,Photo showing hips flat on ground in full split
89,Make a One-Person Short Film,Write and film and edit a short film where you handle every role,2,4,6,6,Minimum 2 minutes - has script - you appear on screen - you edited it
90,Fold 100 Origami Cranes,Fold 100 paper cranes,2,1,6,4,Photo of 100 completed cranes together
91,Compliment 100 Strangers,Give 100 genuine compliments to people you don't know (in-person face-to-face),6,6,8,4,100 compliments delivered to strangers
92,Memorize 50 Digits of Pi,Memorize and recite 50 digits of pi from memory,4,2,6,6,Recite 3.14159... through 50 decimal places without reference
93,Learn Basic Sign Language,Learn the ASL alphabet and 20 common phrases,3,3,4,7,Fingerspell full alphabet from memory + sign 20 phrases without reference
94,Learn Morse Code and Send a Message,Memorize Morse code and use it to send a real message,2,2,5,5,Encode 10+ word sentence - transmit it (tapping - flashlight - sound)
95,Use Your Non-Dominant Hand for a Day,Use only your non-dominant hand for all tasks for one full waking day,1,1,5,5,All hand-based tasks done with non-dominant hand (eating - writing - opening doors)
96,Solve a Rubik's Cube,Solve a Rubik's Cube from a fully scrambled state,1,1,4,4,Complete solve without looking up algorithms during the solve
97,Walk Every Street in Your Neighborhood,Physically walk down every street within a defined area,3,1,5,6,Define boundary before starting - track on map - every street walked
98,Spend a Day Blindfolded,Experience a full waking day without sight,5,6,7,2,Wear blindfold from waking until bedtime (have someone nearby for safety)
99,Most Clothespins on Your Face,Clip as many clothespins to your face as possible in 60 seconds,1,1,2,1,Video of attempt with final count
100,The Authentic Day,Describe your perfect day given no outside obligations and then do it.,6,3,4,3,Day completed - logged what you did.
101,Values Audit,Write your top 10 values and make one small ongoing life change to better align with your values. https://qualitycharters.org/wp-content/uploads/2016/10/Hiring-For-Fit_Values-List.pdf,6,4,2,3,10 values written - change executed
102,The Reconnection,Message three friends you haven't contacted in 1+ year with personalized messages referencing specific memories,5,4,3,2,3 personalized messages sent (not generic)
103,The Protected Call,Schedule a recurring monthly call with someone important and complete 3 consecutive months,5,3,2,4,3 consecutive monthly calls completed
104,Letter to the Living,Write a letter to a living person expressing everything you'd want them to know if they were dying and deliver it,8,8,7,3,1+ page letter written - delivered by mail or read aloud
105,The Collision Dinner,Host a meal introducing friends from different parts of your life who don't know each other,5,5,6,3,3+ guests from 2+ different worlds - meal completed
106,Specific Appreciation,Tell 5 people what you specifically appreciate about them including a specific moment and how it affected you,6,5,4,3,5 people told - each included specific moment + impact
107,Family Recording,Record an interview with a parent or elder about their life story,7,4,7,3,10+ questions prepared - 20+ min recording completed - saved in 2 locations
108,Use Your Time Off,Take your full vacation/PTO this year or 10+ days if self-employed,4,3,1,4,All PTO scheduled - all PTO taken
109,Enroll in One Course,Enroll in and complete a course on something you've always wanted to learn,4,2,3,6,Enrolled - completed with certificate or final project
110,12 Books Outside Your Lane,Read 12 books this year in subjects outside your normal interests,5,1,3,7,12 books completed outside typical reading
111,Find a Mentor,Approach someone whose path you admire and ask for mentorship,6,7,4,5,Person identified - ask made - at least 3 meetings happened
112,Apply Anyway,Apply for an opportunity you think you're not ready for (job and grant and program),5,6,5,3,Application submitted (rejection doesn't matter)
113,The Old Apology,Apologize for something you did years ago with a genuine apology that asks nothing in return,7,8,6,2,Apology delivered - asked for nothing in return
114,Say I Love You,Tell a family member I love you if you rarely do,6,7,3,1,Said it explicitly
115,Time with Declining Health,Spend meaningful time with someone whose health is declining (aging relative and hospice volunteer and care facility visit),8,7,5,5,3+ visits or sessions completed
116,30 Days Alcohol-Free,Go 30 consecutive days without drinking,4,4,2,5,30-day streak completed
117,Sleep 8+ Hours for 14 Nights,Get 8+ hours of actual sleep for two straight weeks,3,2,1,5,Sleep tracking data showing 14 consecutive nights
118,Master 10 New Meals,Learn to cook 10 nutritious meals without recipes,3,1,3,6,Photos of all 10 meals + can cook any on request
119,Automate Retirement Savings,Open a retirement account and set up automatic contributions,5,2,1,2,Account open + automatic transfer active
120,Build an Emergency Fund,Save enough to cover 1-3 months of essential expenses,5,2,1,7,Bank statement showing target balance reached
121,Complete a Salary Negotiation,Negotiate for more compensation in current role or new offer,5,7,4,3,The negotiation conversation happened
122,The Money Talk with Parents,Direct conversation with parents about their financial situation and estate plans and wishes,7,8,4,3,Conversation happened + can answer basic questions about their situation
124,Pitch an Idea to Leadership,Prepare and deliver a formal proposal to senior leadership,5,7,5,4,The pitch meeting happened
125,Digital Detox Day,Spend 24 hours without phones computers or internet,3,3,3,2,Full 24 hours passed
126,Don't Speak for 48 Hours,Go 48 consecutive hours without speaking a single word and otherwise going about your normal routine,5,5,7,3,48 hours completed with zero spoken words
127,12-Hour Meditation in Your Room,Complete 12 hours of meditation in a single day without leaving your room,7,6,6,3,12 hours completed
128,Meet a Family Member You've Never Spoken To,Reach out to and have a meaningful conversation with a family member you've never actually talked to before,6,5,6,2,Contact made - real conversation happened
129,Start a Business and Make $100 Profit,Create a new business venture and generate at least $100 in actual revenue,5,4,6,6,$100 revenue documented (revenue minus all costs)
130,Write a Song,Compose an original song with lyrics and melody (instrument optional and can be a cappella),4,4,5,5,Complete song exists that you can perform start to finish
131,Wear Shoes on Wrong Feet for Entire Day,Wear your left shoe on your right foot and vice versa for an entire waking day,1,2,2,3,Full day completed without switching them back
132,Meet Someone with Fake Identity,Meet a stranger and maintain a completely fake identity and backstory for at least 10 minutes (bonus for accent - longer duration),2,5,7,1,Conversation lasted 10+ min - they believed your fake identity
133,Get Autograph from Famous Person,Obtain an autograph from someone famous enough to have a Wikipedia page,1,3,5,2,Autograph obtained from person with Wikipedia page
134,Attempt a Guinness World Record,Make an official or documented attempt at any Guinness World Record,2,4,8,5,Good faith attempt documented (bonus points for actually achieving it)
135,Get Best Free Item from Classifieds,Find and claim the best free item you can from Craigslist/Facebook Marketplace/local classifieds,1,2,5,2,Free item obtained and photographed. Best item chosen by group vote.
136,Run a Marathon,Train for and complete a full 26.2 mile marathon,4,4,5,9,Finish time documented
137,Gain or Lose 10 Pounds,Reach a weight goal of gaining or losing 10 pounds (whichever aligns with your health goals),4,3,2,7,Before and after weight documented
138,Bike 100 Miles in One Day,Complete a 100-mile bike ride in a single day,3,4,5,6,Route tracked showing 100+ miles
139,Learn to Handstand,Learn to hold a freestanding handstand,2,2,4,6,Video of handstand held for 10+ seconds without wall support
140,Don't Shower for 5 Days,Go 5 consecutive days without showering or bathing,1,3,5,2,5 days completed
141,Do a kickflip,Learn to ride a skateboard and perform a kickflip,2,2,4,6,Video of doing a kickflip
142,Bake Bread from Scratch,Make a loaf of bread completely from scratch (no bread machine),2,1,3,2,Edible loaf produced with photo
143,Draw a Self-Portrait,Create a self-portrait drawing or painting,3,2,4,2,Completed self-portrait
144,Paint Something and Display It,Create a painting and display it proudly somewhere in your home,3,3,4,3,Painting created and hung/displayed
145,Take a Themed Photography Series,Take a series of at least 10 photos around a specific theme,2,1,5,3,10+ photos with cohesive theme
146,Make Wholesome Graffiti,Create positive/uplifting street art or chalk art in a public space,3,4,6,2,Photo of your wholesome public art
147,Write a Poem,Write an original poem of at least 12 lines,4,3,3,2,Poem written and shared with at least one person
148,Write a Joke,Write an original joke and tell it to at least 5 people,2,4,4,2,Joke written and delivered to 5+ people. Someone has to laugh.
149,Learn 3 Magic Tricks,Learn three different magic tricks well enough to perform them,2,3,5,4,Perform all 3 tricks for someone without them figuring them out
150,Take a Dance Class,Attend and complete a dance class in any style,3,4,3,1,Class completed
151,Have Conversation with Oldest Living Relative,Have a meaningful conversation with your oldest living relative about their life,7,4,6,2,Conversation happened and you learned something new about them
152,Take Your Boss to Lunch,Invite your boss to lunch and pay for it,4,5,4,1,Lunch happened and you paid
153,Ask a stranger for $100,Ask someone you dont know if you can have $100,2,7,7,1,The ask happened (outcome doesn't matter)
154,Ask Someone for Clothing Item They're Wearing,Notice something someone is wearing that you like and ask them to give it to you,1,7,7,1,The ask happened (getting it is bonus)
155,Organize a Group Hike,Plan and lead a hike with 4+ people,4,3,3,3,Hike completed with 4+ participants
156,Go to a Protest or Rally,Attend a protest or rally for a political cause you care about,5,5,4,2,Attended and participated
157,Speak in Accent for Entire Day,Maintain a fake accent for an entire day in all interactions,1,5,7,2,Full day completed without breaking character
158,Wear Costume in Public on Non-Halloween Day,Wear a full costume in public on a regular day (not Halloween or costume event),1,5,7,1,Wore costume for significant public outing
159,Collect Hair from 10 People,Collect a piece of hair from 10 different people (with their knowledge),1,5,7,2,10 hair samples collected with consent
160,Buy Food from One Restaurant Eat in Another,Purchase food from one restaurant and eat it inside a different restaurant,1,5,6,1,Completed without getting kicked out
161,Visit 10 Coffee Shops in Your City,Visit and order from 10 different coffee shops in your city,3,1,4,3,10 shops visited with photos/receipts
162,Get Photo from Highest and Lowest Points in City,Take photos at both the highest and lowest elevation points in your city - including buildings and basements,2,2,6,3,Both photos taken with location proof
163,Sneak Into an Event,Get into an event you weren't invited to or don't have a ticket for,1,6,7,2,Successfully attended event you shouldn't have been at
164,Commit a Very Small Crime,Break an outdated or obscure law that's technically illegal but harmless,1,3,5,1,Document which weird law you broke
165,Beat a Video Game You've Never Played,Complete a video game from start to finish that you've never played before,1,1,2,5,Game completed with screenshot of ending
166,Get a Wildly Different Hairstyle,Get a dramatically different haircut or style than you normally have,3,5,6,1,Before and after photos
167,Get a Tattoo,Get a tattoo (any size),4,4,5,2,Tattoo completed
168,Give a tattoo,Give someone a tattoo (any size),3,6,7,2,Tattoo completed
169,Buy Only Unfamiliar Groceries,Buy a week's worth of groceries where nothing is something you've ever eaten before,3,2,5,3,Receipt showing unfamiliar items + photos of eating them
170,Get Pushed Around in a Wheelbarrow,Get pushed around in a wheelbarrow in public for at least 10 minutes,1,3,6,1,Photo/video evidence of wheelbarrow ride
171,Do a Street Performance,Perform publicly on a street (music/magic/art/dance) until you make money,3,7,7,2,Performance completed with photo/video
172,See and Document 20 Bird Species,Observe and photograph/document 20 different bird species,2,1,4,6,20 species documented with photos or detailed notes
173,Learn to Swim,Learn to swim if you can't already (complete a lap without stopping),4,5,4,5,Swim one full pool length without stopping
174,Appear in Video from 100k+ Follower Account,Appear in a YouTube/Instagram/TikTok video from an account with 100k+ followers - or live TV,2,5,7,3,Link to video showing you on major account
175,Hitchhike Somewhere,Travel somewhere by hitchhiking with a buddy,4,6,7,2,Reached destination via hitchhiking
