,Title,Description,Depth,Courage,Story Power,Commitment,Completion Criteria
176,Reach Conversational Level in New Language,Learn enough to hold a 15-minute conversation with a native speaker,4,4,5,8,Verified conversation with native speaker completed
197,See Sunrise and Sunset in One Day,Intentionally watch both the sunrise and sunset on the same day. Ideally from somewhere with a view.,2,1,5,2,Present and watching during both events on same calendar day
314,Cook a Full Meal Together Blindfolded,Partner up and cook a complete meal where one person is blindfolded and the other can only give verbal instructions,3,2,6,1,Completed meal with photo and video of the process
315,Learn a Partner Dance Routine,Learn and perform a choreographed partner dance (salsa - bachata - swing - etc.) of at least 1 minute,3,4,6,5,Performed routine of 1+ minute with video evidence
316,Complete a Tandem Bike Ride of 20+ Miles,Ride a tandem bicycle with a partner for at least 20 miles in one outing,2,2,5,2,GPS tracked ride of 20+ miles completed together
317,Three-Legged 5K,Complete a 5K race or route while three-legged-tied to a partner,2,3,7,2,5K distance completed while tied together with photo/video
318,Build a Piece of Furniture Together,Build a functional piece of furniture from raw materials (not IKEA) with a partner,3,2,5,4,Functional furniture piece completed with photo in use
329,Volunteer Together for 8 Hours,Complete a full day of volunteer work (8+ hours) with a friend at the same organization,5,3,3,2,8+ hours completed at same organization with photo
338,Forage a Meal Together,Find and correctly identify wild edible plants/mushrooms with a knowledgeable partner and eat a dish made from them,3,3,6,2,Dish prepared and eaten from foraged ingredients with photo documentation
339,Canoe or Kayak 10+ Miles Together,Complete a 10+ mile paddle with a partner in a single outing,2,3,4,2,10+ mile paddle completed together with GPS or photo evidence
340,Build and Launch a Model Rocket Together,Assemble and successfully launch a model rocket with a partner,2,1,5,3,Rocket assembled and successfully launched with video
360,Best Sandcastle,Build sandcastles at the same beach on the same day; group votes on the best,1,1,4,1,Sandcastles built and winner voted on with photos
377,Karaoke Night,Perform karaoke at a bar or public venue in front of an audience of strangers,2,5,6,1,Video or photo of you performing karaoke at a public venue
380,Donate Clothes to a Shelter,Gather clothes you no longer wear and donate them directly to a homeless shelter or clothing bank,3,1,1,2,Donation made with receipt or photo at the shelter
381,Cook a Meal for a Stranger,Prepare a homemade meal and share it with someone you don't know personally,5,5,6,2,Meal prepared and shared with a stranger - with photo
385,Get in Your Local Newspaper,Do something noteworthy enough to be mentioned or featured in your local newspaper or news outlet,2,4,7,4,Published article or mention with your name
386,Visit Another Player in Their City,Travel to visit another Big Year participant in their home city and spend meaningful time together.,5,4,6,3,Photo together in their city
387,Learn to Ride a Unicycle,Learn to ride a unicycle well enough to travel at least 50 feet without falling,1,2,6,5,Video of riding 50+ feet unassisted
389,Quit an Addiction,Identify a habit or substance you're dependent on and quit for at least 3 consecutive months,7,7,4,8,3 consecutive months free from the identified habit
390,Write a Children's Book,Write and illustrate a children's book about something you're passionate about,4,3,6,5,Completed book with text and illustrations - at least 10 pages
392,Start a Podcast or YouTube Channel,Create a podcast or YouTube channel and publish at least 3 episodes or videos,3,6,5,5,3+ episodes/videos published publicly
393,Hold an Unfamiliar Animal,Physically interact with or hold an animal species you've never touched before (reptile - bird of prey - tarantula - etc.),1,4,6,1,Photo or video of you with the new animal species
395,Try a Combat Sport,Attend at least 3 classes in a combat sport you've never trained (boxing - jiu jitsu - muay thai - wrestling - etc.),3,5,4,3,3 classes completed in a new combat sport
397,Sunrise to Sunset Outdoors,Spend an entire day from sunrise to sunset outdoors without going inside for any reason,4,3,5,2,Full day completed outdoors with no indoor visits
399,Delete a Social Media Account,Permanently delete one of your social media accounts (Instagram - TikTok - Twitter - Facebook - etc.),5,4,4,2,Account permanently deleted (not just deactivated)
401,Go on a Meditation Retreat,Attend a meditation or mindfulness retreat of at least 2 days,6,5,5,4,Retreat attended for full duration
402,Make a New Close Friend,Develop a genuine friendship with someone new. Spend meaningful one-on-one time together at least 5 times.,6,5,3,6,5+ hangouts with someone you weren't friends with at the start of the year
403,Talk with an Unhoused Person,Have a genuine - extended conversation with an unhoused person. Learn their name - hear their story - and share yours.,6,6,6,1,Had a real conversation and can share what you learned about their story
404,Coffee Chat with a Stranger,Approach strangers and ask them to have coffee with you until someone says yes - then have a genuine conversation,5,6,6,2,Coffee purchased and real conversation had with a stranger who accepted
405,Take a Long-Distance Train Ride,Ride Amtrak or equivalent train to a destination more than 12 hours away,3,2,5,2,Train ticket and photos from 12+ hour journey
406,Write a Novel,Write an original novel or novella of at least 50000 words,5,4,6,9,Completed manuscript of 50000+ words
407,Guerrilla Garden,Plant edible vegetables or herbs in a public space (park - unused lot - grocery store flower bed) and harvest the produce later,3,4,7,6,Plants planted in public space - grown - and produce harvested with photos
409,High Five 100 Strangers,Get 100 different strangers to high five you in a single day,2,4,7,2,Video evidence of high-fiving 100+ strangers
410,No Eating Out for a Month,Prepare every meal at home for 30 consecutive days. No restaurants or takeout or delivery.,3,2,2,5,30 consecutive days with only home-cooked meals
411,Go Skydiving,Complete a tandem or solo skydive from at least 10000 feet,2,5,6,1,Jump completed with photo or video
412,Try a Sensory Deprivation Tank,Spend at least 60 minutes floating in a sensory deprivation tank,3,3,4,1,60+ minute float session completed
413,Pay for the Person Behind You,Pay the bill of the person behind you in line at the grocery store,3,3,3,1,Payment made for a stranger's order
415,Join a Sports League,Join and complete a season in a recreational sports league (basketball - soccer - volleyball - kickball - etc.),4,4,3,7,Full season completed in a recreational league
416,Go Vegan for a Month,Eat a fully vegan diet with no animal products for 30 consecutive days,4,3,3,5,30 consecutive days of fully vegan eating
417,Drive a Very Large Vehicle,Get behind the wheel and drive a bus - semi truck - garbage truck - or other commercial-sized vehicle,1,3,5,1,Photo or video of you driving the vehicle
418,Capture an Invasive Species,Legally capture or remove an invasive species in your area (spotted lanternfly - invasive plants - etc.),3,2,5,2,Photo of captured/removed invasive species with identification
420,Track a Metric and Present It,Choose a personal metric (mood - sleep - spending - steps - etc.) - track it daily for at least 6 months - and give a presentation on your findings,5,5,5,7,6 months of data collected and presentation delivered to an audience
422,Put an App on the App Store,Build and publish a mobile app on the Apple App Store or Google Play Store,4,4,6,7,App live and downloadable with link
428,Learn to Do a Backflip,Learn to perform a standing backflip on flat ground (gym training allowed during learning),2,5,6,5,Video of a standing backflip on flat ground
431,Visit Every National Park in Your State,Visit every national park or national monument in your state,3,1,5,6,Photo at each location documented
432,No Processed Sugar for a Month,Cut out all processed sugar from your diet for 30 consecutive days. Natural sugars from whole fruit are allowed.,3,2,2,5,30 consecutive days without processed sugar
433,No Spending for a Week,Go 7 consecutive days without spending any money at all. Pre-paid bills like rent and utilities are fine.,3,2,3,3,7 consecutive days with zero transactions
434,Do Stand-Up Comedy at an Open Mic,Write and perform an original stand-up comedy set at an open mic night,4,7,7,3,Performed a set at a real open mic night with video or photo
438,Try Surströmming,Open and eat Swedish fermented herring (surströmming). Outdoors strongly recommended.,1,2,6,1,Video of opening the can and eating the surströmming
439,Chug a Gallon of Milk,Attempt to drink an entire gallon of milk in one sitting. Barfing is allowed.,1,1,5,1,Video of honest attempt at the full gallon
442,Do 50% More Pull-Ups,Increase your max set of pull-ups by 50% compared to your starting number (e.g. - 10 to 15),3,2,3,6,Before and after max pull-up counts documented
443,Convince a Wealthy Person to Donate,Convince someone with a $10M+ net worth to make a donation to one of your favorite charities,6,8,7,5,Donation confirmed by the donor or charity
444,Start a Nonprofit,Start a registered nonprofit organization and raise at least $1000 in donations,6,6,6,8,Nonprofit registered and $1000+ in donations received
445,Go to a Drag Show in Drag,Attend a drag show while dressed in full drag yourself,4,7,8,2,Photo of you in drag at a drag show
448,Have Conversation with Your 1st Grade Teacher,Track down and have a real conversation with your first grade (or other early) teacher,5,4,6,2,Conversation happened and you can describe what you discussed
452,Take a Random Stranger to Lunch,Invite a complete stranger off the street to have lunch with you - you pay.,5,7,7,1,Lunch completed with a stranger who accepted your invitation
453,Test Drive a Luxury Car,Go to a dealership and test drive a car worth $100000+ (Lamborghini or Porsche or similar),1,3,5,1,Photo of you behind the wheel of the luxury car
456,Dance the Thriller,Organize and perform the Thriller dance with a group of 10+ people in a public place,3,5,8,4,Video of 10+ people performing Thriller together
457,Learn to Windmill,Learn the breakdancing windmill move well enough to complete 3 consecutive rotations,2,3,6,6,Video of 3+ consecutive windmill rotations
458,Let 10 Species Eat from Your Hand,Feed animals from 10 different species directly from your hand (squirrels - birds - goats - horses - etc.),2,2,7,5,Photos of 10 different species eating from your hand
459,See Inside a Datacenter,Get a tour of or access to a datacenter and see the servers in person,3,3,5,2,Photo of you inside a datacenter
461,Frugal Month and Donate Savings,Remove as many expenses as you can for a full month (eat out less - cancel subscriptions - bike instead of Uber) and donate all the money you saved,5,3,4,5,Documented savings amount and donation receipt
466,Get Kicked Out of a Casino for Card Counting,Learn basic card counting and get asked to leave a casino for winning too much at blackjack,2,5,9,5,Documentation of being asked to leave a casino
467,Build a Tire Swing,Build a functional tire swing from scratch and swing on it,2,1,4,2,Photo/video of completed tire swing in use
468,Build a Treehouse,Build a treehouse or elevated platform sturdy enough to sit in,3,2,6,5,Photo of completed treehouse with you sitting in it
469,Plant a Fruit Tree,Plant a fruit-bearing tree and keep it alive for one full year,4,1,4,7,Photo of tree at planting and one year later - still alive
470,Tread Water for 2 Hours,Stay afloat treading water continuously for 2 hours without touching the bottom or sides,3,4,5,4,Video or witness verification of 2-hour tread
471,Learn to Surf,Stand up and ride a wave to shore on a surfboard,2,3,5,3,Video of standing up and riding a wave
474,Catch a Fish Bare-Handed,Catch a live fish using only your hands (no tools nets or traps) and release it,1,2,7,3,Video of catching and releasing the fish
476,Breathe Fire,Learn fire breathing and successfully perform it (with proper fuel and technique),1,5,8,3,Video of successful fire breathing performance
477,Learn to Do the Worm,Learn the worm dance move well enough to travel at least 10 feet across the floor,2,2,5,4,Video of traveling 10+ feet doing the worm
478,Learn to Moonwalk,Learn to moonwalk smoothly enough to do it across a room without stumbling,2,2,5,4,Video of smooth moonwalk across a room
481,Shit Outside,Successfully take a shit outdoors in nature (Leave No Trace principles apply),1,3,7,1,Task completed following Leave No Trace principles
482,Stretch Every Day for 30 Days,Complete a dedicated stretching session of 10+ minutes every day for 30 consecutive days,3,1,1,5,30 consecutive days logged with 10+ min sessions
483,Practice Tai Chi for 30 Days,Follow a Tai Chi routine at least 3 times per week for 30 consecutive days,4,2,3,5,3x/week for 30 days documented
484,Create a Piece of Pottery,Shape and fire a piece of pottery using real clay (wheel or hand-built),2,2,5,3,Finished fired pottery piece
485,Make a Voodoo Doll,Craft a handmade voodoo doll or poppet using fabric pins and stuffing,1,1,5,2,Completed doll with photo documentation
487,Build a Giant Slingshot and Launch a Watermelon,Construct a slingshot large enough to launch a watermelon and successfully fire one,1,2,8,4,Video of watermelon launch from completed slingshot
489,Build and Maintain a Terrarium,Build a terrarium housing live creatures (isopods snails etc.) and keep it thriving for 90 days,3,1,4,6,Terrarium built with living inhabitants thriving at 90 days
490,Learn Balloon Animals,Learn to make at least 5 distinct balloon animal shapes and make them for strangers in public,3,5,6,4,5 shapes mastered + made for strangers in public with photo/video
491,Create a Day of the Dead Altar,Build a complete ofrenda honoring someone who has passed with traditional elements,6,3,6,3,Complete altar with traditional elements honoring specific person
492,Grow a Meal from Seed to Plate,Plant grow and harvest enough ingredients to cook a full meal where every ingredient (vegetables protein seasoning) was grown by you from seed,3,1,6,8,Full meal cooked with all ingredients grown from seed + documented
494,Get a Pedicure with a Friend,Book and attend a pedicure appointment together with a friend,3,3,3,1,Appointment attended together
495,Apply Henna Art to Someone,Learn henna application and complete a full henna design on another person's hand or arm,3,3,5,3,Completed design on another person with photo
496,Attend a Holi Festival,Attend and participate in a Holi festival (color festival),4,3,7,2,Participated in color throwing + photo documentation
497,Repaint and Redecorate a Room,Fully repaint the walls and redecorate one room in your living space with new paint and rearranged or new decor,2,1,4,3,Room fully repainted and redecorated with before/after photos
498,Learn to Change a Diaper,Successfully change a real baby's diaper if you've never done it before,3,3,3,1,Diaper changed on a real baby
499,Learn to Pick a Lock,Learn to pick a lock using lockpicking tools and successfully open a locked padlock you own,2,1,5,4,Video of picking a locked padlock
500,Switch to an Ergonomic Keyboard,Purchase and switch to an ergonomic or split keyboard and use it as your primary keyboard for 30 days,2,1,1,5,30 days of primary use documented
501,Take an Emergency Preparedness Class,Complete a certified class in CPR first aid or emergency response (e.g. Red Cross or community college),4,2,2,2,Certificate or proof of class completion
504,Hit a Bullseye with an Arrow,Shoot an arrow and hit the bullseye on a standard archery target,1,2,5,4,Photo of arrow in bullseye
505,Paint the Exterior of a Car,Fully paint the exterior of a real car with original designs by hand (not a wrap not a spray booth),2,3,8,5,Car fully painted by hand with photo documentation
506,Create Chainsaw Art,Carve a recognizable sculpture from wood or ice using a chainsaw,2,3,7,4,Completed sculpture with photo documentation
507,Build a Backyard Raku Kiln,Assemble a functional raku kiln in your backyard and fire at least one piece of pottery in it,2,2,6,5,Kiln built + at least one piece fired in it
508,Wear Makeup Every Day for a Month,Apply makeup every day for 30 consecutive days (if you don't normally wear it),5,6,6,5,30 days documented with photos
509,Go Makeup-Free for a Month,Go 30 consecutive days without wearing any makeup (if you normally wear it),5,5,4,5,30 consecutive days completed
510,Dye Your Hair a Bold Color,Dye your hair a dramatically different or bold color,3,4,5,2,Before and after photos of bold color
512,Build a Bat House,Build and install a functional bat house outdoors,2,1,4,3,Bat house built and installed outdoors
513,Become a Beekeeper,Set up a beehive and actively maintain a bee colony for at least 3 months,4,4,7,8,Hive set up + maintained for 3 months with documentation
514,Build an Epic Blanket Fort,Build a blanket fort large enough to sleep in and spend a full night in it,1,1,5,2,Fort built + full night spent inside with photo
515,Install a Carbon Monoxide Detector,Buy and properly install a carbon monoxide detector in your home,2,1,1,1,Detector installed and functioning
516,Get a Radon Test Done,Complete a radon test in your home and review the results,2,1,1,1,Test completed and results reviewed
518,Eat 5 Different Insects,Eat at least 5 different species of edible insects,2,5,7,2,5 species eaten with photo/video documentation
519,Eat a live insect,Eat a large live insect or grub. 1 inch or larger,1,6,7,1,Video of eating a live insect 1 inch or larger
520,Release a Lantern at a Festival,Attend a lantern festival and release a sky lantern,3,1,6,2,Lantern released at festival with photo/video
521,Learn Fencing and Win a Bout,Take fencing lessons and win at least one bout in a sanctioned competition or tournament,3,4,6,6,Won at least one official bout with documentation
524,Take someone on a sunrise picnic,Prepare breakfast and watch the sunset together from somewhere beautiful.,5,4,6,2,Breakfast prepared + sunrise/sunset shared with someone + photo